year,citizens,permanentresidents,nonresidents
1960,0,0,0
1961,0,0,0
1962,0,0,0
1963,0,0,0
1964,0,0,0
1965,0,0,0
1966,0,0,0
1967,0,0,0
1968,0,0,0
1969,0,0,0
1970,"1874778","138785","60944"
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,"2194280","87845","131820"
1981,0,0,"208432"
1982,0,0,"280759"
1983,0,0,"274896"
1984,0,0,"288516"
1985,0,0,"253342"
1986,0,0,"214775"
1987,0,0,"220925"
1988,0,0,"247650"
1989,0,0,"283274"
1990,"2623736","112132","311264"
1991,"2664625","130079","340379"
1992,"2702430","147324","380944"
1993,"2742826","161720","408924"
1994,"2784168","175182","459698"
1995,"2823707","189808","510991"
1996,"2860419","207712","602572"
1997,"2894794","228608","672635"
1998,"2929731","250287","747195"
1999,"2958379","271302","729042"
2000,"2985886","287477","754524"
2001,"3017092","308810","812110"
2002,"3043397","339547","793006"
2003,"3032541","334350","747935"
2004,"3057087","356179","753398"
2005,"3081001","386813","797948"
2006,"3107924","417970","875471"
2007,"3133848","449234","1,005517"
2008,"3164438","478221","1,196737"
2009,"3200693","533183","1,253697"
2010,"3230719","541002","1,305011"
2011,"3257228","532023","1,394437"
2012,"3285140","533065","1,494232"
2013,"3313507","531244","1,554411"
2014,"3343030","527709","1,598985"
2015,"3375023","527667","1,632312"
2016,"3408943","524616","1,673724"
2017,"3439177","526619","1,646457"
