year,citizens,permanentresidents,nonresidents
1960,0,0,0
1961,0,0,0
1962,0,0,0
1963,0,0,0
1964,0,0,0
1965,0,0,0
1966,0,0,0
1967,0,0,0
1968,0,0,0
1969,0,0,0
1970,"1,874,778","138,785","60,944"
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,"2,194,280","87,845","131,820"
1981,0,0,"208,432"
1982,0,0,"280,759"
1983,0,0,"274,896"
1984,0,0,"288,516"
1985,0,0,"253,342"
1986,0,0,"214,775"
1987,0,0,"220,925"
1988,0,0,"247,650"
1989,0,0,"283,274"
1990,"2,623,736","112,132","311,264"
1991,"2,664,625","130,079","340,379"
1992,"2,702,430","147,324","380,944"
1993,"2,742,826","161,720","408,924"
1994,"2,784,168","175,182","459,698"
1995,"2,823,707","189,808","510,991"
1996,"2,860,419","207,712","602,572"
1997,"2,894,794","228,608","672,635"
1998,"2,929,731","250,287","747,195"
1999,"2,958,379","271,302","729,042"
2000,"2,985,886","287,477","754,524"
2001,"3,017,092","308,810","812,110"
2002,"3,043,397","339,547","793,006"
2003,"3,032,541","334,350","747,935"
2004,"3,057,087","356,179","753,398"
2005,"3,081,001","386,813","797,948"
2006,"3,107,924","417,970","875,471"
2007,"3,133,848","449,234","1,005,517"
2008,"3,164,438","478,221","1,196,737"
2009,"3,200,693","533,183","1,253,697"
2010,"3,230,719","541,002","1,305,011"
2011,"3,257,228","532,023","1,394,437"
2012,"3,285,140","533,065","1,494,232"
2013,"3,313,507","531,244","1,554,411"
2014,"3,343,030","527,709","1,598,985"
2015,"3,375,023","527,667","1,632,312"
2016,"3,408,943","524,616","1,673,724"
2017,"3,439,177","526,619","1,646,457"
